provider,category,total_amount_millions,dem_amount_millions,rep_amount_millions,dem_pct,rep_pct,party_lean,data_source,notes
WinRed,Fundraising Platform,311.2,0.0,311.2,0.0,100.0,Republican,FEC API,"Primary R online fundraising platform, processes most small-dollar GOP donations"
ActBlue,Fundraising Platform,296.9,296.9,0.0,100.0,0.0,Democrat,FEC API,"Primary D online fundraising platform, processes most small-dollar Dem donations"
Targeted Victory,Digital Consulting,142.4,0.0,142.4,0.0,100.0,Republican,OpenSecrets,"Top Republican digital consulting firm, founded by Zac Moffatt"
Bully Pulpit Interactive,Digital Consulting,116.3,116.3,0.0,100.0,0.0,Democrat,OpenSecrets,"Top Democratic digital consulting firm, founded by Obama campaign veterans"
NGP VAN,CRM / Voter File,78.9,78.9,0.0,100.0,0.0,Democrat,FEC API,"Primary D voter file and CRM platform, now part of Bonterra"
Scale to Win,SMS / P2P Texting,51.4,51.4,0.0,100.0,0.0,Democrat,OpenSecrets,"Dominant D P2P texting platform, ~2 cents per SMS"
Anedot,Fundraising Platform,28.8,0.4,28.4,1.4,98.6,Republican,FEC API,"Secondary R fundraising platform, popular with House/Senate candidates"
EveryAction,CRM / Fundraising,28.6,28.6,0.0,100.0,0.0,Democrat,FEC API,"D-aligned CRM and fundraising platform, now part of Bonterra with NGP VAN"
Revv,Fundraising Platform,6.9,0.0,6.9,0.0,100.0,Republican,FEC API,"R-aligned fundraising/payment processing platform"
i360,Data / Analytics,3.3,0.0,3.3,0.0,100.0,Republican,OpenSecrets (2020),"Koch-backed Republican data and analytics firm, ~270M voter profiles"
RumbleUp,SMS / P2P Texting,2.3,0.0,2.3,0.0,100.0,Republican,OpenSecrets,"R-aligned P2P texting platform"
Hustle,SMS / P2P Texting,1.5,1.5,0.0,100.0,0.0,Democrat,OpenSecrets,"D-leaning P2P texting platform, originally built on Twilio"
Catalist,Data / Analytics,1.1,1.1,0.0,100.0,0.0,Democrat,OpenSecrets,"D-exclusive voter data and analytics firm, 256M voter records"
